name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,loan_approved_label
Thomas Johnson,Davisberg,53519,609,16902,37,55.0,False,Rejected
Bethany Daniels,Brianfurt,69618,428,27407,0,25.0,False,Rejected
Phillip Holmes,North Brianville,31854,641,39950,6,35.0,False,Rejected
Krystal Vaughn,North Joyhaven,122801,354,46978,13,50.0,False,Rejected
Kristina Coffey,East Patty,100010,458,20719,40,55.0,False,Rejected
William Smith,Hansonborough,46591,417,5400,0,20.0,False,Rejected
Spencer Meyer,East Dale,65954,325,34148,28,35.0,False,Rejected
Timothy Evans,Mcgrathbury,35965,566,41157,28,25.0,False,Rejected
Lisa Reynolds,East Donaldbury,37146,474,34522,34,25.0,False,Rejected
John Roberts,New Trevorview,102529,700,26285,6,70.0,True,Approved
Robert Hernandez,Stephenshire,68290,698,1722,37,75.0,True,Approved
Matthew Barry,Williamsstad,121411,442,31664,29,50.0,False,Rejected
William Howard,West Rachel,46551,837,26599,32,65.0,True,Approved
Matthew Bell,Stephenberg,113606,585,44151,19,65.0,True,Approved
Andrea Franco,Bennettfort,143830,484,38751,32,50.0,False,Rejected
Kelly Anderson,Briannashire,128669,656,39305,39,65.0,True,Approved
Andrea Johnson,East Colin,94340,408,33730,30,45.0,False,Rejected
David Ingram,North Rachel,43446,478,48720,24,25.0,False,Rejected
Jennifer Brown,Dannyland,144389,752,25531,38,90.0,True,Approved
Alyssa Thompson,Lake Shannonberg,31607,504,13826,16,25.0,False,Rejected
Michael Perez DDS,Cervantesborough,105243,388,39149,1,35.0,False,Rejected
Mary Harris,North Michael,67268,717,38243,34,60.0,True,Approved
Gina Fleming,Leeborough,91524,785,33823,22,80.0,True,Approved
Steven Castaneda,South Ronaldfurt,92746,372,38299,5,35.0,False,Rejected
Joseph Garcia,Hallside,87733,638,2477,14,70.0,True,Approved
Donna Clayton,Warnerland,74657,461,19878,4,30.0,False,Rejected
Dana Holmes,Reginaldton,54164,413,39192,30,35.0,False,Rejected
Victoria Delgado,West Robertborough,36734,642,4892,8,45.0,False,Rejected
Robert Rivera,East Trevorshire,63092,336,23665,4,30.0,False,Rejected
Linda Salazar,New Timothyberg,142947,577,48404,2,40.0,False,Rejected
Jonathan Perez,Ryanport,92616,533,2405,3,45.0,False,Rejected
Richard Gonzalez,Flemingtown,44953,793,4417,24,75.0,True,Approved
Melissa Jordan,Dunnville,137756,748,8732,39,95.0,True,Approved
Mrs. Cheryl Kim,East Jesseshire,38564,310,15884,26,25.0,False,Rejected
Stacy Mcguire,Port Alexisbury,82521,358,6020,3,45.0,False,Rejected
Christopher Williams,Carriebury,94454,599,9501,38,65.0,True,Approved
Matthew Douglas,West Shawnaborough,39710,806,47219,22,65.0,True,Approved
Shannon Wallace,Shellyside,105631,599,43837,15,60.0,True,Approved
Debra Wolfe,North Michaelchester,112502,797,19335,5,85.0,True,Approved
Chad Daugherty,West Judy,119974,515,9044,23,60.0,True,Approved
Rachel Johnson,Lake Scott,37026,764,8486,1,55.0,False,Rejected
Mr. Donald Cruz PhD,North Joshuafurt,49887,807,2235,24,80.0,True,Approved
Andrew Harris,Lake Ryan,49555,353,44280,19,25.0,False,Rejected
Phillip Pineda,Sandraview,136318,521,2792,21,60.0,True,Approved
Lisa Glenn,Port Danielfurt,103772,594,36046,29,65.0,True,Approved
Nathan Mack,Franciscofurt,69824,778,49865,15,70.0,True,Approved
Adrian Marsh,Christopherbury,41164,602,23120,36,40.0,False,Rejected
Luis Ward,Kimberlytown,62530,427,21112,36,40.0,False,Rejected
Sara Abbott,Fordmouth,45525,309,31568,2,15.0,False,Rejected
Karen Richard,South Brian,103147,381,19117,39,55.0,False,Rejected
Tiffany Alexander,Katieview,130197,565,33435,8,45.0,False,Rejected
Christopher Pitts,East Dannyton,84548,488,45855,32,40.0,False,Rejected
Lauren Williams,North Stephanie,109471,565,17871,1,40.0,False,Rejected
Shannon Gomez,New Jimmyville,108135,379,34222,28,50.0,False,Rejected
Billy Harris,Mariachester,133643,373,43066,27,50.0,False,Rejected
Briana Nguyen,Matthewchester,111057,683,31846,18,75.0,True,Approved
Caitlin Williams,New Anthony,59581,516,21519,32,40.0,False,Rejected
Natalie Logan,Shelbyfurt,131671,333,44061,9,45.0,False,Rejected
Zachary Miller,East Arianashire,98494,728,36321,7,65.0,True,Approved
Kelsey Williams,Hopkinshaven,79856,751,21770,17,80.0,True,Approved
Kenneth Bartlett,Johnstad,89049,536,30872,20,45.0,False,Rejected
Shirley Cox,Annland,149079,670,43816,30,75.0,True,Approved
Joann Barnes,New John,88028,717,45178,37,65.0,True,Approved
Lisa Flynn,Leeland,68974,718,28592,32,60.0,True,Approved
Ms. Mackenzie Barton,South Alexis,142743,423,28435,16,55.0,False,Rejected
Michelle Harrison,East Mollychester,107139,324,46222,10,45.0,False,Rejected
Brandi Camacho DVM,Gomezfurt,86207,547,47660,18,40.0,False,Rejected
Steven Villanueva,Lake Brandonstad,70026,759,27796,40,75.0,True,Approved
Ruben Roberts,Gravesburgh,104531,821,6491,9,95.0,True,Approved
Linda Wood,Graymouth,111399,480,34336,37,50.0,False,Rejected
Raymond Hall,Petersonshire,37894,830,35419,37,65.0,True,Approved
Tanya Mitchell,Floresburgh,109905,446,3748,13,60.0,True,Approved
Donald Hobbs,Coryport,127004,469,8769,18,60.0,True,Approved
Jeffrey Mcclure,Sheilaview,43006,408,16183,17,30.0,False,Rejected
Daniel Roberson,North Carmen,129973,340,36378,34,50.0,False,Rejected
Adriana Wall,West Jamesshire,57235,736,48978,28,60.0,True,Approved
Sandra Phillips,Lake Jasmineville,111987,755,29328,31,85.0,True,Approved
Sean Kaiser,West Lindabury,57659,376,22437,10,40.0,False,Rejected
Desiree Mccoy,Lake Haileyton,64687,743,7582,33,80.0,True,Approved
Ryan Guerrero,Lake Courtneybury,116563,440,39426,24,50.0,False,Rejected
Connie Gonzalez,Hernandezburgh,40641,808,19520,8,60.0,True,Approved
Shawn Tapia,North Ryan,50585,802,37551,39,75.0,True,Approved
Christopher Barnes,Christinashire,61439,540,42793,22,35.0,False,Rejected
Mr. Christopher Evans,West Elizabeth,52782,801,42289,25,75.0,True,Approved
Kimberly Phillips,North Sydney,102350,594,28498,28,65.0,True,Approved
Matthew Wilson,Huberville,39838,655,46676,25,40.0,False,Rejected
Patricia Webb,Burkebury,50517,329,20066,17,40.0,False,Rejected
Stacy Patton,New Kelseyview,30350,625,27950,25,40.0,False,Rejected
Jessica Green,West Toddbury,83545,647,42698,2,45.0,False,Rejected
Jason Armstrong,New Jamie,89048,412,41193,39,40.0,False,Rejected
Larry Smith,Port Nicholasmouth,120357,661,37234,4,55.0,False,Rejected
Kelly Cox,East Mary,107832,705,48043,14,70.0,True,Approved
Christopher Brooks,Lewisbury,91592,313,3364,1,40.0,False,Rejected
Kelsey Mason,Williamsport,68175,608,2588,14,65.0,True,Approved
Melissa Johnson,Port Kristenfurt,34278,434,49531,17,25.0,False,Rejected
Angela Wagner,Smithside,60340,455,7262,37,45.0,False,Rejected
Cheyenne Obrien,Kristenchester,67762,824,49724,1,60.0,True,Approved
Jimmy Garcia,Bennettchester,122662,395,15565,26,55.0,False,Rejected
Karen Velez,South Andre,67056,808,48681,25,75.0,True,Approved
Pamela Klein,Walkertown,122141,706,16211,28,80.0,True,Approved
Justin Day,Douglasland,142670,397,37758,10,50.0,False,Rejected
Tom Watkins,East Richardfort,89510,835,48384,36,80.0,True,Approved
Amy Snyder,Collinsmouth,39329,454,3392,20,40.0,False,Rejected
Linda Savage,Hannahside,120096,800,36755,31,90.0,True,Approved
Matthew Morris,Robertsonland,60595,407,28898,4,25.0,False,Rejected
Peter Martin,East Jamesville,64675,339,28799,31,35.0,False,Rejected
Robert Freeman,Rossport,133262,420,29539,18,55.0,False,Rejected
Shirley Nelson,Christinastad,133710,469,10274,18,60.0,True,Approved
Christine Mendez,Aprilview,111927,783,31335,13,85.0,True,Approved
Tammy Cortez,East Alice,107304,785,1643,20,95.0,True,Approved
Chris Jones,West Jacquelineborough,116662,396,36240,29,50.0,False,Rejected
Antonio Harrison,North Michael,135369,531,23607,40,55.0,False,Rejected
Corey Mitchell,Silvaport,55928,676,41927,25,60.0,True,Approved
Kristina May,North Brittany,85723,405,48884,13,40.0,False,Rejected
Dennis Garcia,Riverashire,45043,583,49317,39,40.0,False,Rejected
Kara Jackson,East Christopher,101376,450,10393,10,55.0,False,Rejected
Aaron Miller,East Williammouth,59466,735,44571,30,60.0,True,Approved
Jonathan Wilson,Bennettfurt,114886,785,24264,19,90.0,True,Approved
Emily Miller,East Sonia,49528,584,47618,9,35.0,False,Rejected
Kristina Henry,Ginaside,149067,745,43735,22,85.0,True,Approved
Sean Wyatt,Jessicaborough,64816,495,26064,23,35.0,False,Rejected
Joseph Smith,Markstad,138348,559,33951,0,40.0,False,Rejected
Amanda Hill,Sandersview,48643,580,41977,3,30.0,False,Rejected
Samantha Roy,Osbornmouth,39359,802,12388,30,70.0,True,Approved
Maria Gardner,North Mikeberg,37816,481,9627,5,25.0,False,Rejected
Ryan Brown,West Connorside,51747,584,13725,39,55.0,False,Rejected
Faith Powers,Rachaelburgh,133891,675,34838,0,60.0,True,Approved
Jennifer Monroe,North Jameshaven,70319,451,48772,17,35.0,False,Rejected
Jeremy Hill,Lake William,107993,477,42635,0,35.0,False,Rejected
Justin Wilson,Carrollland,128167,774,6777,7,90.0,True,Approved
Catherine Miller,Brittanytown,138034,473,1684,13,60.0,True,Approved
Julia Wiley,West Mary,104607,495,49982,8,40.0,False,Rejected
James Mitchell,Donaldmouth,67828,723,15808,12,70.0,True,Approved
Curtis Krause,Heidiview,87560,394,33105,22,45.0,False,Rejected
Hannah May,Gallegosburgh,46299,337,39353,24,25.0,False,Rejected
Keith Chaney,Reedport,91433,512,23425,32,45.0,False,Rejected
Natalie Adams,West Jeffery,120266,567,3060,7,55.0,False,Rejected
Lynn Alvarez,Willisstad,69857,686,44142,37,60.0,True,Approved
Erica Garcia,Mistytown,121715,462,28617,30,55.0,False,Rejected
Elizabeth Owens,Port Andrew,82757,767,39900,36,75.0,True,Approved
Monica Wells,West Jennifer,65683,645,32624,25,50.0,False,Rejected
Wesley Rich,South Ronaldview,95597,710,39867,1,50.0,False,Rejected
Christopher Turner,New Karen,100776,433,44477,21,45.0,False,Rejected
Amy Davis,Port Michael,94722,705,11835,29,75.0,True,Approved
Charles Andrade,Kyleburgh,87377,541,14324,27,50.0,False,Rejected
David Cohen,Adamburgh,40543,652,7547,30,50.0,False,Rejected
Jennifer Lewis,Barnettmouth,108385,548,7279,24,60.0,True,Approved
Phillip Anderson,Rachaelchester,35224,703,36003,4,40.0,False,Rejected
Michael Cordova,East Nicoleburgh,146578,540,25191,23,55.0,False,Rejected
Rodney Bishop,Melendezbury,86626,441,33764,12,45.0,False,Rejected
Eric Davis,Valdezchester,126276,454,19675,19,55.0,False,Rejected
Roberto Johnson,Whitefurt,72247,829,7975,29,85.0,True,Approved
Hannah Oconnor,Laratown,109129,464,21907,8,50.0,False,Rejected
Janet Gibson,Valdezfurt,62816,732,4572,19,75.0,True,Approved
Patrick Wilson,Shawfort,33390,643,36063,23,40.0,False,Rejected
Christopher Coleman,Bergland,41970,453,1455,21,40.0,False,Rejected
Michelle Scott,Grahammouth,60005,588,3611,7,60.0,True,Approved
Julia Williams,Johnnymouth,118381,603,2542,34,75.0,True,Approved
Edward Butler,Nguyenton,139570,414,24412,2,45.0,False,Rejected
Jennifer Thompson,East Jessicafort,142789,741,19002,22,90.0,True,Approved
Melissa Sanchez,Williamsmouth,105392,681,3509,9,80.0,True,Approved
Misty Burnett,South Williamland,106955,645,42729,19,65.0,True,Approved
Alex Clements,Jenniferland,32719,743,8630,12,65.0,True,Approved
Whitney Gilbert,Lake Lauren,130238,683,38574,30,75.0,True,Approved
Timothy Hill,West Walter,118117,346,40624,25,50.0,False,Rejected
Megan Nelson,Clarkchester,137665,432,19007,17,55.0,False,Rejected
Richard Reid,East Jeffreymouth,65325,526,5176,39,50.0,False,Rejected
Michael Wilcox,Waltersmouth,105529,698,32169,35,75.0,True,Approved
Gilbert Reed,Hernandezfort,35273,515,35880,10,25.0,False,Rejected
Dawn Johnson,Lake Tommystad,130022,385,14602,33,55.0,False,Rejected
Edgar Stewart,Johnsonshire,129125,470,41911,22,50.0,False,Rejected
Jennifer Hubbard,Angelafort,52962,540,25594,34,35.0,False,Rejected
Lawrence Atkinson,South Jefferyville,91669,596,12706,10,65.0,True,Approved
Victoria Werner,Bellborough,98021,728,40272,17,65.0,True,Approved
Jack Garcia,Wayneside,115394,701,15752,25,80.0,True,Approved
John Mckenzie MD,South Keith,87963,845,22892,29,85.0,True,Approved
Melinda Garcia,Mccannchester,66458,493,42708,1,20.0,False,Rejected
Brenda Harvey,New Ashleychester,53788,323,22300,39,35.0,False,Rejected
Keith Kennedy,West Andrewfurt,106720,823,13650,10,95.0,True,Approved
Nathan Allen,Gilesborough,87132,630,9693,18,65.0,True,Approved
Andre Lane,Sanchezmouth,113202,547,12591,29,55.0,False,Rejected
Ashley Munoz,Monicaburgh,136724,550,31291,4,45.0,False,Rejected
Andrew Rhodes,Atkinsland,94451,727,18041,34,75.0,True,Approved
Ricardo Holland,South Timothyton,41959,599,27109,2,30.0,False,Rejected
Mitchell Hunt,Pattersonville,91605,406,10567,16,50.0,False,Rejected
Lauren Moody,West Robert,75607,647,10302,15,65.0,True,Approved
Christine Davis,South Rachelfort,83523,550,18039,21,50.0,False,Rejected
Jeremy Cobb,Ashleyton,73687,443,10700,33,45.0,False,Rejected
Daniel Wood,Jenniferport,72081,462,38200,40,35.0,False,Rejected
Micheal Nunez,Lake Linda,117835,431,10602,38,60.0,True,Approved
James Walsh,Port Jasonport,43710,451,39288,0,10.0,False,Rejected
Nathan Mcgee,Woodsburgh,142424,652,43195,9,60.0,True,Approved
Kathryn Mills,Grimesfort,51079,473,35421,30,35.0,False,Rejected
Steven Smith,West Jeffreyborough,73228,529,10836,17,45.0,False,Rejected
Monica Wilson,West Victor,83955,312,49906,33,40.0,False,Rejected
Natalie Cox,South Conniemouth,120921,819,5403,17,100.0,True,Approved
Kimberly Figueroa,Port Brianshire,94942,835,17251,15,90.0,True,Approved
Patrick Norris,East Hannah,67777,767,12628,2,70.0,True,Approved
Deborah Ramirez,Lake Mariah,116846,365,9686,33,60.0,True,Approved
Daniel Sanchez,Marshallside,82488,352,21896,40,45.0,False,Rejected
John Ramos,Gonzalezside,136635,520,40209,31,50.0,False,Rejected
Adam Jordan,Lake Oliviaborough,129680,767,1032,16,95.0,True,Approved
Lindsay Vasquez,West William,102102,826,19596,19,95.0,True,Approved
Joseph Peterson,Connieville,34809,486,32954,0,10.0,False,Rejected
William Ruiz,East Cameron,89614,742,45104,19,75.0,True,Approved
Scott Peterson,East Kimberly,41542,537,14973,19,30.0,False,Rejected
Erica Moreno,Lake Kevinborough,71224,458,22218,10,40.0,False,Rejected
James Jackson,New Elaine,63082,633,34847,30,50.0,False,Rejected
Rachel Chan,Jeremyview,72372,783,20897,23,75.0,True,Approved
Gene Gomez,Shannonchester,45194,702,28336,0,35.0,False,Rejected
Jennifer Schmitt,Debbieberg,131259,767,18970,1,75.0,True,Approved
Christina Bates,Kennethstad,82976,324,22092,27,45.0,False,Rejected
Erika Castro,Port Jason,143365,815,29842,17,95.0,True,Approved
David Nguyen,Davidshire,97449,781,4014,24,90.0,True,Approved
Susan Tucker,Valerieshire,138124,684,4887,6,80.0,True,Approved
Grant Medina,Mcleanville,30150,783,9800,4,55.0,False,Rejected
Reginald Gutierrez,Port Edward,116200,606,38623,12,65.0,True,Approved
Jessica Murphy,Angelaport,143949,322,10205,4,50.0,False,Rejected
Melissa Stevenson,Rebeccamouth,101118,519,13067,20,55.0,False,Rejected
Joel Cook,Jonathantown,90552,443,8811,26,55.0,False,Rejected
Robert Yates,New Nathanielshire,84165,747,3102,32,90.0,True,Approved
Erin Ryan,Baileyland,37104,377,38047,5,20.0,False,Rejected
Phyllis Schmidt,New Sandraborough,54586,374,45823,27,35.0,False,Rejected
Julie Preston,Lake Mark,97952,486,43456,36,40.0,False,Rejected
Joseph Schwartz,Prestonfurt,77419,600,1416,39,70.0,True,Approved
Alicia Perez,Hernandezbury,111609,634,35889,29,65.0,True,Approved
Christina Underwood,Patriciashire,129148,456,13376,9,50.0,False,Rejected
Christopher Johnson,Port Davidstad,95338,370,22460,20,50.0,False,Rejected
William Hall,Port Michael,111973,440,29812,7,45.0,False,Rejected
Jaime Wallace,South Brandon,87939,749,27160,12,80.0,True,Approved
James Olsen,East Williamshire,129613,828,8975,10,100.0,True,Approved
Barbara Burns,Karamouth,36764,725,13516,13,55.0,False,Rejected
Dr. Heather Scott,South Allenfurt,56680,730,27234,6,55.0,False,Rejected
Tracy Copeland,Bautistaport,65003,534,46954,5,30.0,False,Rejected
Rhonda Liu,West Jessicamouth,101987,346,10223,15,55.0,False,Rejected
Adam Stone,Lake Terry,47172,339,5009,38,35.0,False,Rejected
Sharon Guerrero,Christinaburgh,67752,729,12299,11,70.0,True,Approved
Traci Harmon,West Natasha,87424,412,11641,1,35.0,False,Rejected
Mr. Mario Stout III,Anthonytown,145454,639,2867,30,75.0,True,Approved
Shane Mcintyre,New Nicholashaven,121521,473,11365,6,55.0,False,Rejected
Steven Davis,North Tanyamouth,93532,725,36174,28,70.0,True,Approved
Larry Walsh,Thomasview,45915,431,22160,34,25.0,False,Rejected
Louis Moran,Vasquezshire,33783,500,9246,14,30.0,False,Rejected
Renee Thomas,Lake Codyfurt,112578,589,41305,6,60.0,True,Approved
David Blair,Markmouth,109806,832,34875,36,90.0,True,Approved
Debra Lam MD,Donnashire,134767,335,26233,40,55.0,False,Rejected
Craig White,Lake Austin,61365,543,11609,25,45.0,False,Rejected
Kenneth Webb,Jacobshire,123032,715,30629,13,80.0,True,Approved
Dennis Gonzales,Dianahaven,50758,645,23102,11,50.0,False,Rejected
Mary Barnett,Kathrynview,70730,364,24948,27,40.0,False,Rejected
Traci Martinez,South Maria,102199,423,37075,18,50.0,False,Rejected
Gregory Chavez,Port Teresaburgh,31792,707,34482,12,50.0,False,Rejected
Michael Parsons,Lake Julie,102384,838,40382,9,85.0,True,Approved
Kerry Williams,Amberhaven,83476,470,25541,10,45.0,False,Rejected
Christopher Walters,Port Sarah,42217,455,36443,39,25.0,False,Rejected
Dale Williams,Phillipshaven,59451,731,32230,29,60.0,True,Approved
Nathan Evans,West Jeanetteport,140284,513,49068,39,50.0,False,Rejected
Andrea Fischer,East Timothy,149659,464,16890,25,55.0,False,Rejected
Maria Myers,East Mary,44871,372,15831,17,30.0,False,Rejected
James Barber,East Scott,90482,582,22461,0,50.0,False,Rejected
Kelly Warren,Hallmouth,45396,605,9183,34,50.0,False,Rejected
Jordan Jones,Nancyton,114896,690,17741,7,75.0,True,Approved
Jessica Jackson,Blakebury,139070,835,7753,5,95.0,True,Approved
Miss Linda Cox DVM,Copelandchester,50181,731,4712,40,75.0,True,Approved
Randy Kirby,Rebeccahaven,95323,636,28501,16,60.0,True,Approved
Mrs. Ashley Shaffer,New Troy,123926,744,44622,17,85.0,True,Approved
Richard Erickson,Obrienfurt,68254,343,40430,6,30.0,False,Rejected
Rebecca Finley,North Tammybury,96698,669,39018,38,55.0,False,Rejected
James Garner,Deborahmouth,122459,771,38574,33,85.0,True,Approved
James Trujillo,Caldwelltown,65838,521,38154,11,35.0,False,Rejected
Tracy Garcia,Phammouth,84459,559,24500,22,45.0,False,Rejected
Vincent Hill,West Stephenview,139408,464,14721,35,55.0,False,Rejected
Kimberly Morris,Mullinsburgh,93242,811,6824,21,95.0,True,Approved
Joshua Trujillo,West Maria,91894,403,48313,5,35.0,False,Rejected
Emily Crawford,Port Patrick,61946,571,47359,31,35.0,False,Rejected
Robert Huang,East Marcus,89871,414,13438,37,50.0,False,Rejected
Jonathan May,Katherineside,102255,482,27081,39,50.0,False,Rejected
Christina Davis,Phelpsberg,48958,648,35919,22,40.0,False,Rejected
Thomas Garcia,Christinaland,80277,631,15734,28,65.0,True,Approved
Danielle Moore,Anthonybury,54983,524,17079,14,40.0,False,Rejected
Robert Thomas,Johntown,108561,794,29767,26,85.0,True,Approved
Yvette Lee,Port April,96616,709,42107,36,65.0,True,Approved
Veronica Francis,Lindaview,127818,741,25263,23,90.0,True,Approved
Taylor Flores,Chaseberg,145255,629,47034,15,65.0,True,Approved
Lauren Davis,Nicholsville,47892,533,48192,22,25.0,False,Rejected
Maria Spencer,South Joseph,143249,354,31162,39,55.0,False,Rejected
Kevin Brown,North Ann,39150,358,23780,30,25.0,False,Rejected
Brittany Fleming,Lake Joshuaview,66208,328,47767,38,35.0,False,Rejected
Michael Bender DVM,Lake Shannon,131276,611,22661,14,70.0,True,Approved
Sherri Shah,Port Amber,133547,622,1444,39,75.0,True,Approved
Paul Matthews,New Brycechester,141989,465,49008,12,50.0,False,Rejected
Kyle Blake,Port Howard,84387,806,48753,7,75.0,True,Approved
Brandon Powell,Ballardfurt,74548,785,10077,21,80.0,True,Approved
Eric Thompson,Kochfort,133247,392,13095,16,60.0,True,Approved
Darrell Duke,West Shannonville,96550,836,17893,1,75.0,True,Approved
Amy Hawkins,Codytown,65018,841,1824,0,75.0,True,Approved
Eric Marsh,Micheleburgh,137551,493,42712,39,50.0,False,Rejected
Mr. William Davis DDS,New Neil,30336,481,29881,11,25.0,False,Rejected
Robin Wallace,New Pamelaville,67072,619,20099,6,50.0,False,Rejected
Christopher Stone,South Jamesberg,125164,645,30797,35,70.0,True,Approved
Rachel Raymond,West Johnberg,69132,545,33162,12,35.0,False,Rejected
Amanda Brown,Cochranshire,139769,401,35068,5,45.0,False,Rejected
Erica Rose,Shermanborough,106931,589,21992,8,65.0,True,Approved
Craig Raymond,Powellfurt,106011,384,33143,1,35.0,False,Rejected
Frank Webb MD,Gayport,116499,356,35573,2,40.0,False,Rejected
Brandon Mcclain,Lake Lee,94178,349,36015,1,30.0,False,Rejected
Eric Lopez,Port Marciachester,143411,820,35339,11,95.0,True,Approved
Melanie Williams,North Stephen,49476,490,15520,20,30.0,False,Rejected
Dalton Clark,North Sandraborough,88529,419,20034,0,35.0,False,Rejected
Mary Herman,Traceyfurt,100592,533,25365,25,50.0,False,Rejected
Charles Sanchez,Nicolechester,93483,617,14426,17,65.0,True,Approved
Adam Colon,Ramirezborough,75236,799,17608,38,85.0,True,Approved
Michael Williams,Andersonbury,73573,372,42785,7,30.0,False,Rejected
Steven Freeman,New Mark,102340,562,45623,25,45.0,False,Rejected
Dustin Foley,Danielville,129991,704,14246,5,75.0,True,Approved
Kathleen Martinez,South Timothyville,101228,534,3492,24,60.0,True,Approved
Phillip Drake,South Christina,79441,748,49388,9,70.0,True,Approved
Randy Bates,Port Jason,89682,625,3867,36,70.0,True,Approved
Christian Villarreal,Sandrastad,72176,773,14149,3,70.0,True,Approved
Christian Carter,East Jackborough,143980,643,44123,28,65.0,True,Approved
Jeremiah Bridges,Angelaberg,54727,625,4716,7,60.0,True,Approved
Jennifer Ferguson,Lake Sarah,121422,679,3518,9,80.0,True,Approved
Melinda Smith,New Brianfurt,61300,422,15714,40,40.0,False,Rejected
Joshua Smith,Pinedafurt,104946,589,45932,39,60.0,True,Approved
Thomas Young,Salazarstad,80196,765,32400,9,70.0,True,Approved
Shawn Walker,Danaburgh,60613,697,17856,10,65.0,True,Approved
Alex Trujillo,North Steve,142199,532,27360,8,50.0,False,Rejected
Heather Mcmahon,Stephensonmouth,131652,763,30090,24,90.0,True,Approved
George Ortega,Lake Alyssa,83841,551,15218,12,50.0,False,Rejected
Tiffany Daniel,Rachelside,35720,718,25563,19,50.0,False,Rejected
Charles Rodriguez,Evanschester,71704,352,14068,13,45.0,False,Rejected
Steve Keller,Whitemouth,127609,324,46479,13,50.0,False,Rejected
Michael Nelson,Lake Richard,91993,502,10875,26,50.0,False,Rejected
David Rodgers,Stewarthaven,122435,336,45314,6,45.0,False,Rejected
Angelica Smith,West Melissamouth,149725,665,14304,9,70.0,True,Approved
Elizabeth Jones,Brandymouth,136352,786,23191,11,90.0,True,Approved
Brian Hoffman,East Robert,79968,845,41520,26,80.0,True,Approved
Juan Harrison,Hannahbury,80604,416,44507,9,35.0,False,Rejected
Anne Williams,Kennedyfort,116991,474,2307,37,60.0,True,Approved
Sabrina Galvan,South Patricia,133860,803,45024,36,90.0,True,Approved
Gerald Miller,Caseyberg,137577,607,45392,25,65.0,True,Approved
Ashley Donovan,Lake Malik,115461,385,24246,38,55.0,False,Rejected
Mrs. Lisa Garza,West Melissa,49936,496,34647,17,25.0,False,Rejected
Dr. Allison Flores,North Debra,94923,613,18243,28,65.0,True,Approved
Gail Nelson DVM,Hopkinsmouth,34852,332,9562,39,30.0,False,Rejected
Kenneth Turner,South Norman,46547,336,46566,17,25.0,False,Rejected
Gabriela Pratt,Russellmouth,95836,435,23691,16,50.0,False,Rejected
Katherine Adams,Sellersland,107356,626,34344,7,60.0,True,Approved
Carl Gill,North Gregory,73515,366,11092,36,45.0,False,Rejected
Peggy Shields,Lake Alexandermouth,143993,372,11239,37,60.0,True,Approved
Shelby Murray,Kristiville,43154,424,4680,8,30.0,False,Rejected
Paul Miller,Lake Stephanietown,144581,743,45931,14,85.0,True,Approved
Mitchell Hughes,South Lisa,140761,807,40679,11,90.0,True,Approved
Nicholas Vargas,South Jacksontown,87711,381,12524,12,50.0,False,Rejected
Shawn Johnston,Lake David,43069,377,13333,11,30.0,False,Rejected
Nicole Perez,Reidshire,98937,603,40423,26,55.0,False,Rejected
Donna Simmons,Jillhaven,149333,307,43915,16,50.0,False,Rejected
Christopher Brown,Cooperton,89890,740,6239,28,90.0,True,Approved
Patrick Davis,Helenland,32011,568,48654,20,25.0,False,Rejected
Patrick Castillo,Evansfort,124692,620,36777,12,65.0,True,Approved
Christopher Vazquez,Marshallmouth,48894,632,27426,29,40.0,False,Rejected
Julie Hernandez,Barnestown,83736,442,21756,24,45.0,False,Rejected
Lynn Ross MD,East Brittany,144154,488,15220,6,50.0,False,Rejected
John Nelson,North Tyler,115823,462,20891,35,55.0,False,Rejected
Colton Lawson,Reynoldsburgh,50232,799,44633,3,60.0,True,Approved
Brian Benton,Franklinberg,39807,540,34997,31,25.0,False,Rejected
Christopher Mccoy,Carrberg,91537,842,19474,21,90.0,True,Approved
Renee Shields,Annettefort,132436,364,2160,28,60.0,True,Approved
David Blackburn,Port Rachel,64737,787,19384,35,75.0,True,Approved
Riley Hale,West Kimberly,74375,534,47406,37,35.0,False,Rejected
Robin Wright,Zamoramouth,111691,823,7264,24,100.0,True,Approved
Loretta Miller,Fordview,120794,368,30457,24,50.0,False,Rejected
Raven Hill,West Melanie,82098,360,32047,15,45.0,False,Rejected
Aaron Kelly,Hoffmanview,115175,627,32765,20,65.0,True,Approved
Kimberly Holloway,New Cassie,40527,602,49065,3,30.0,False,Rejected
Chloe Lindsey,Johnfurt,141642,733,46917,0,60.0,True,Approved
Dan Phillips,Lake Dawnchester,73065,380,25158,29,40.0,False,Rejected
Wendy Griffin,Petersmouth,141718,621,8061,17,75.0,True,Approved
Craig Obrien,Frankberg,118389,630,2111,7,70.0,True,Approved
Gabriel Woods,West Marie,142635,684,37053,1,60.0,True,Approved
Maria Foster,Christieton,99942,589,22234,36,65.0,True,Approved
Michelle Crawford,East Edwardhaven,79808,467,47783,15,40.0,False,Rejected
Isaac Kelly,South Matthewland,71505,804,27251,34,80.0,True,Approved
Jason Clarke,New Mackenzie,112155,512,30392,10,50.0,False,Rejected
Thomas Green,North Deanna,124203,324,4439,14,60.0,True,Approved
Andrew Blake,Port Devin,146318,627,22164,24,70.0,True,Approved
Meagan Smith,Travischester,129536,369,3629,12,60.0,True,Approved
